timestamp,dataset,pe,normalize,L,H,stride,max_series,epochs,seed,val_mae_raw,val_mae_z,avg_epoch_s,device,params_m,ckpt
2025-11-18T11:52:30.452834,electricity,rope,zscore,168,24,120,32,3,43,38.660458,0.319289,3.696,cuda,3.166,checkpoints/ts_transformer_electricity_rope.pt
2025-11-18T11:59:47.261831,electricity,xpos,zscore,168,24,120,32,3,43,38.659912,0.319303,3.919,cuda,3.166,checkpoints/ts_transformer_electricity_xpos.pt
2025-11-18T12:07:01.850770,electricity,alibi,zscore,168,24,120,32,3,43,48.583286,0.402014,3.097,cuda,3.166,checkpoints/ts_transformer_electricity_alibi.pt
2025-11-18T12:14:15.445826,electricity,none,zscore,168,168,120,32,3,43,56.73941,0.473822,2.772,cuda,3.203,checkpoints/ts_transformer_electricity_none.pt
2025-11-18T12:22:48.138675,electricity,absolute,zscore,168,168,120,32,3,43,51.825047,0.430423,2.853,cuda,3.203,checkpoints/ts_transformer_electricity_absolute.pt
2025-11-18T12:31:22.279728,electricity,rope,zscore,168,168,120,32,3,43,47.669727,0.394571,3.586,cuda,3.203,checkpoints/ts_transformer_electricity_rope.pt
2025-11-18T12:39:57.953234,electricity,xpos,zscore,168,168,120,32,3,43,47.683033,0.394681,3.858,cuda,3.203,checkpoints/ts_transformer_electricity_xpos.pt
2025-11-18T12:48:32.209026,electricity,alibi,zscore,168,168,120,32,3,43,56.73941,0.473822,3.069,cuda,3.203,checkpoints/ts_transformer_electricity_alibi.pt
2025-11-18T12:57:05.856880,electricity,none,zscore,168,336,120,32,3,43,59.785969,0.499225,2.723,cuda,3.246,checkpoints/ts_transformer_electricity_none.pt
2025-11-18T13:07:10.145597,electricity,absolute,zscore,168,336,120,32,3,43,52.260735,0.432984,2.793,cuda,3.246,checkpoints/ts_transformer_electricity_absolute.pt
2025-11-18T13:17:16.169146,electricity,rope,zscore,168,336,120,32,3,43,50.061298,0.411416,3.67,cuda,3.246,checkpoints/ts_transformer_electricity_rope.pt
2025-11-18T13:27:22.270612,electricity,xpos,zscore,168,336,120,32,3,43,50.106407,0.411742,3.839,cuda,3.246,checkpoints/ts_transformer_electricity_xpos.pt
2025-11-18T13:37:25.109754,electricity,alibi,zscore,168,336,120,32,3,43,59.785969,0.499225,2.925,cuda,3.246,checkpoints/ts_transformer_electricity_alibi.pt
2025-11-18T13:47:36.830192,electricity,none,zscore,336,24,120,32,3,43,55.744732,0.465692,5.263,cuda,3.166,checkpoints/ts_transformer_electricity_none.pt
2025-11-18T14:04:24.161223,electricity,absolute,zscore,336,24,120,32,3,43,40.01189,0.331232,5.304,cuda,3.166,checkpoints/ts_transformer_electricity_absolute.pt
2025-11-18T14:21:12.302661,electricity,rope,zscore,336,24,120,32,3,43,38.507683,0.317687,5.983,cuda,3.166,checkpoints/ts_transformer_electricity_rope.pt
2025-11-18T14:38:00.838667,electricity,xpos,zscore,336,24,120,32,3,43,38.5821,0.318275,6.104,cuda,3.166,checkpoints/ts_transformer_electricity_xpos.pt
2025-11-18T14:54:49.267150,electricity,alibi,zscore,336,24,120,32,3,43,55.744732,0.465692,5.981,cuda,3.166,checkpoints/ts_transformer_electricity_alibi.pt
2025-11-18T15:11:52.191180,electricity,none,zscore,336,168,120,32,3,43,60.466705,0.507546,5.224,cuda,3.203,checkpoints/ts_transformer_electricity_none.pt
2025-11-18T15:21:36.192107,weather,none,zscore,168,24,120,32,3,42,22.548433,0.162068,2.783,cuda,3.166,checkpoints/ts_transformer_weather_none.pt
2025-11-18T15:30:27.620005,weather,absolute,zscore,168,24,120,32,3,42,22.306204,0.138582,2.719,cuda,3.166,checkpoints/ts_transformer_weather_absolute.pt
2025-11-18T15:46:21.227776,weather,none,zscore,168,24,120,32,3,42,22.548433,0.162068,2.825,cuda,3.166,checkpoints/ts_transformer_weather_none.pt
2025-11-18T15:55:44.053558,weather,absolute,zscore,168,24,120,32,3,42,22.306204,0.138582,3.817,cuda,3.166,checkpoints/ts_transformer_weather_absolute.pt
2025-11-18T16:05:28.569985,weather,rope,zscore,168,24,120,32,3,42,21.571373,0.141028,5.182,cuda,3.166,checkpoints/ts_transformer_weather_rope.pt
2025-11-18T16:15:12.207526,weather,xpos,zscore,168,24,120,32,3,42,21.529791,0.141026,5.316,cuda,3.166,checkpoints/ts_transformer_weather_xpos.pt
2025-11-18T16:24:52.844206,weather,alibi,zscore,168,24,120,32,3,42,22.548433,0.162068,4.083,cuda,3.166,checkpoints/ts_transformer_weather_alibi.pt
2025-11-18T16:34:59.489785,weather,none,zscore,168,168,120,32,3,42,23.521574,0.218551,3.963,cuda,3.203,checkpoints/ts_transformer_weather_none.pt
2025-11-18T16:46:58.929631,weather,absolute,zscore,168,168,120,32,3,42,20.462402,0.202919,4.107,cuda,3.203,checkpoints/ts_transformer_weather_absolute.pt
2025-11-18T16:58:31.707586,weather,rope,zscore,168,168,120,32,3,42,20.269098,0.203319,4.809,cuda,3.203,checkpoints/ts_transformer_weather_rope.pt
2025-11-18T17:09:43.101208,weather,xpos,zscore,168,168,120,32,3,42,20.288744,0.203336,5.438,cuda,3.203,checkpoints/ts_transformer_weather_xpos.pt
2025-11-18T17:22:01.589817,weather,alibi,zscore,168,168,120,32,3,42,23.521574,0.218551,4.098,cuda,3.203,checkpoints/ts_transformer_weather_alibi.pt
2025-11-18T17:33:55.800357,weather,none,zscore,336,24,120,32,3,42,14.85692,0.1366,7.025,cuda,3.166,checkpoints/ts_transformer_weather_none.pt
2025-11-18T17:56:33.506328,weather,absolute,zscore,336,24,120,32,3,42,16.480238,0.123678,7.188,cuda,3.166,checkpoints/ts_transformer_weather_absolute.pt
2025-11-18T18:19:07.364298,weather,rope,zscore,336,24,120,32,3,42,18.197689,0.127728,8.673,cuda,3.166,checkpoints/ts_transformer_weather_rope.pt
2025-11-18T18:42:04.522615,weather,xpos,zscore,336,24,120,32,3,42,17.638361,0.12466,8.801,cuda,3.166,checkpoints/ts_transformer_weather_xpos.pt
2025-11-18T19:04:55.351634,weather,alibi,zscore,336,24,120,32,3,42,14.85692,0.1366,8.102,cuda,3.166,checkpoints/ts_transformer_weather_alibi.pt
2025-11-18T19:27:32.348208,weather,none,zscore,336,168,120,32,3,42,21.04188,0.235772,7.113,cuda,3.203,checkpoints/ts_transformer_weather_none.pt
2025-11-18T19:52:02.179284,weather,absolute,zscore,336,168,120,32,3,42,16.390501,0.189523,7.096,cuda,3.203,checkpoints/ts_transformer_weather_absolute.pt
2025-11-18T20:15:54.398841,weather,rope,zscore,336,168,120,32,3,42,21.093607,0.207539,8.018,cuda,3.203,checkpoints/ts_transformer_weather_rope.pt
2025-11-18T20:39:48.597123,weather,xpos,zscore,336,168,120,32,3,42,21.406868,0.20837,7.395,cuda,3.203,checkpoints/ts_transformer_weather_xpos.pt
2025-11-18T21:02:39.004991,weather,alibi,zscore,336,168,120,32,3,42,21.04188,0.235772,7.431,cuda,3.203,checkpoints/ts_transformer_weather_alibi.pt
2025-11-18T21:25:07.889247,traffic,none,zscore,168,24,120,32,3,42,0.018059,0.353875,1.447,cuda,3.166,checkpoints/ts_transformer_traffic_none.pt
2025-11-18T21:29:41.843332,traffic,absolute,zscore,168,24,120,32,3,42,0.014275,0.287945,1.458,cuda,3.166,checkpoints/ts_transformer_traffic_absolute.pt
2025-11-18T21:34:16.031333,traffic,rope,zscore,168,24,120,32,3,42,0.013556,0.27188,1.72,cuda,3.166,checkpoints/ts_transformer_traffic_rope.pt
2025-11-18T21:38:48.121117,traffic,xpos,zscore,168,24,120,32,3,42,0.013537,0.2715,1.774,cuda,3.166,checkpoints/ts_transformer_traffic_xpos.pt
2025-11-18T21:43:22.062452,traffic,alibi,zscore,168,24,120,32,3,42,0.018059,0.353875,1.588,cuda,3.166,checkpoints/ts_transformer_traffic_alibi.pt
2025-11-18T21:47:55.211773,traffic,none,zscore,168,168,120,32,3,42,0.021246,0.417367,1.406,cuda,3.203,checkpoints/ts_transformer_traffic_none.pt
2025-11-18T21:52:58.523506,traffic,absolute,zscore,168,168,120,32,3,42,0.015523,0.311521,1.454,cuda,3.203,checkpoints/ts_transformer_traffic_absolute.pt
2025-11-18T21:58:04.534054,traffic,rope,zscore,168,168,120,32,3,42,0.014806,0.297221,1.684,cuda,3.203,checkpoints/ts_transformer_traffic_rope.pt
2025-11-18T22:03:09.007847,traffic,xpos,zscore,168,168,120,32,3,42,0.014797,0.297043,1.738,cuda,3.203,checkpoints/ts_transformer_traffic_xpos.pt
2025-11-18T22:08:12.204598,traffic,alibi,zscore,168,168,120,32,3,42,0.021246,0.417367,1.574,cuda,3.203,checkpoints/ts_transformer_traffic_alibi.pt
2025-11-18T22:13:16.634117,traffic,none,zscore,168,336,120,32,3,42,0.023519,0.455407,1.437,cuda,3.246,checkpoints/ts_transformer_traffic_none.pt
2025-11-18T22:18:56.141040,traffic,absolute,zscore,168,336,120,32,3,42,0.016428,0.328845,1.437,cuda,3.246,checkpoints/ts_transformer_traffic_absolute.pt
2025-11-18T22:24:36.444579,traffic,rope,zscore,168,336,120,32,3,42,0.015164,0.305298,1.703,cuda,3.246,checkpoints/ts_transformer_traffic_rope.pt
2025-11-18T22:30:16.885967,traffic,xpos,zscore,168,336,120,32,3,42,0.015167,0.305334,1.736,cuda,3.246,checkpoints/ts_transformer_traffic_xpos.pt
2025-11-18T22:35:56.986988,traffic,alibi,zscore,168,336,120,32,3,42,0.023519,0.455407,1.563,cuda,3.246,checkpoints/ts_transformer_traffic_alibi.pt
2025-11-18T22:41:42.620572,traffic,none,zscore,336,24,120,32,3,42,0.019052,0.373151,3.387,cuda,3.166,checkpoints/ts_transformer_traffic_none.pt
2025-11-18T22:52:37.704976,traffic,absolute,zscore,336,24,120,32,3,42,0.014846,0.298671,3.382,cuda,3.166,checkpoints/ts_transformer_traffic_absolute.pt
2025-11-18T23:03:35.666007,traffic,rope,zscore,336,24,120,32,3,42,0.01377,0.276733,3.848,cuda,3.166,checkpoints/ts_transformer_traffic_rope.pt
2025-11-18T23:14:32.553553,traffic,xpos,zscore,336,24,120,32,3,42,0.01372,0.275944,3.917,cuda,3.166,checkpoints/ts_transformer_traffic_xpos.pt
2025-11-18T23:25:29.721306,traffic,alibi,zscore,336,24,120,32,3,42,0.019052,0.373151,3.822,cuda,3.166,checkpoints/ts_transformer_traffic_alibi.pt
2025-11-18T23:36:25.210892,traffic,none,zscore,336,168,120,32,3,42,0.022674,0.442325,3.381,cuda,3.203,checkpoints/ts_transformer_traffic_none.pt
2025-11-18T23:47:47.800520,traffic,absolute,zscore,336,168,120,32,3,42,0.016981,0.338802,3.39,cuda,3.203,checkpoints/ts_transformer_traffic_absolute.pt
2025-11-18T23:59:09.292217,traffic,rope,zscore,336,168,120,32,3,42,0.014819,0.298344,3.817,cuda,3.203,checkpoints/ts_transformer_traffic_rope.pt
2025-11-19T00:10:34.395062,traffic,xpos,zscore,336,168,120,32,3,42,0.014842,0.298843,3.875,cuda,3.203,checkpoints/ts_transformer_traffic_xpos.pt
2025-11-19T00:21:57.588642,traffic,alibi,zscore,336,168,120,32,3,42,0.022674,0.442325,3.695,cuda,3.203,checkpoints/ts_transformer_traffic_alibi.pt
2025-11-19T00:33:32.654136,traffic,none,zscore,336,336,120,32,3,42,0.022493,0.440429,3.445,cuda,3.246,checkpoints/ts_transformer_traffic_none.pt
2025-11-19T00:46:33.703667,traffic,absolute,zscore,336,336,120,32,3,42,0.017788,0.354209,3.446,cuda,3.246,checkpoints/ts_transformer_traffic_absolute.pt
2025-11-19T00:59:26.227397,traffic,rope,zscore,336,336,120,32,3,42,0.015446,0.310413,3.944,cuda,3.246,checkpoints/ts_transformer_traffic_rope.pt
2025-11-19T01:11:58.647030,traffic,xpos,zscore,336,336,120,32,3,42,0.015475,0.310916,3.853,cuda,3.246,checkpoints/ts_transformer_traffic_xpos.pt
2025-11-19T01:23:59.105802,traffic,alibi,zscore,336,336,120,32,3,42,0.022493,0.440429,3.747,cuda,3.246,checkpoints/ts_transformer_traffic_alibi.pt
